ID;SALDEB;SEX;ANC;AGE;SALACT;NIVED;EXP;CATEG
628;8400;0;81;28.5;16080;16;0.25;4
630;24000;0;73;40.33;41400;16;12.5;5
632;10200;0;83;31.08;21960;15;4.08;5
633;8700;0;93;31.17;19200;16;1.83;4
635;17400;0;83;41.92;28350;19;13;5
637;12996;0;80;29.5;27250;18;2.42;4
641;6900;0;79;28;16080;15;3.17;1
649;5400;0;67;28.75;14100;15;0.5;1
650;5040;0;96;27.42;12420;15;1.17;1
652;6300;0;77;52.92;12300;12;26.42;3
653;6300;0;84;33.5;15720;15;6;1
656;6000;0;88;54.33;8880;12;27;1
657;10500;0;93;32.33;22000;17;2.67;4
658;10800;0;98;41.17;22800;15;12;5
659;13200;0;64;31.92;19020;19;2.25;5
660;5640;0;94;46.25;12300;12;20;3
669;13500;0;81;30.75;22200;19;5.17;4
671;6900;0;72;32.67;10380;15;6.92;1
683;6300;0;70;58.5;8520;15;31;1
685;11004;0;89;34.17;27500;17;3.17;4
690;7200;0;79;46.58;11460;15;21.75;1
696;10992;0;83;35.17;20500;16;5.75;5
697;16992;0;85;43.25;27700;20;11.17;7
702;8700;0;65;28;28000;16;1.58;4
704;13992;0;65;39.75;22000;19;10.75;5
706;12804;0;78;30.08;27250;19;2.92;4
707;13992;0;83;30.17;27000;17;0.75;5
708;6600;0;70;44.5;9000;12;18;2
709;10992;0;91;30.17;31300;18;3.92;4
712;6300;0;70;26.83;11760;15;1.25;2
715;6000;0;84;29.58;15540;15;4.42;1
717;12996;0;75;41.17;22000;18;10.42;5
719;12996;0;68;28.83;24000;17;1.42;6
722;5880;0;70;27.83;10980;12;3.42;2
726;13200;0;78;32.92;29400;19;3.75;4
734;5400;0;97;31.92;10920;12;5.5;1
735;10992;0;96;39.33;24150;19;8;4
736;6600;0;94;36;13920;15;7.75;2
739;6300;0;78;63.75;12300;8;35.75;3
740;7800;0;83;38.42;11736;12;12.5;1
745;5700;0;96;30.33;13020;15;3.58;2
751;6600;0;95;33.75;14040;15;7.5;1
756;10200;0;78;35.42;16020;15;11.08;5
757;7500;0;98;35.67;16080;16;3;1
759;8400;0;93;30.67;21250;16;4;4
760;7800;0;78;28.33;16140;16;1.67;1
761;6000;0;84;63.42;12300;8;31.67;3
764;8160;0;84;29.5;15000;15;2.75;1
765;6000;0;87;31.5;11040;12;6.25;2
766;10992;0;90;34.33;21950;16;5.67;4
767;5700;0;65;25;11400;15;1.67;1
769;9492;0;94;34;24000;16;4.92;4
771;6000;0;72;28.17;11340;15;4;2
